id,student_id,due_date,paid_date,amount
1,3,2024-09-02,2024-09-02,350000
2,3,2024-10-07,2024-10-07,400000
3,3,2024-11-11,2024-11-11,450000
4,5,2024-09-02,2024-09-02,450000
5,5,2024-10-07,2024-10-07,450000
6,5,2024-11-11,2024-11-11,500000
7,6,2024-09-02,2024-09-02,350000
8,6,2024-10-07,2024-10-07,350000
9,6,2024-11-11,2024-11-11,400000
10,8,2024-09-02,2024-09-02,400000
11,8,2024-10-07,2024-10-07,350000
12,8,2024-11-11,2024-11-11,350000
13,10,2024-09-02,2024-09-02,350000
14,10,2024-10-07,2024-10-07,450000
15,10,2024-11-11,2024-11-11,500000
16,12,2024-09-02,2024-09-16,350000
17,12,2024-10-07,2024-10-07,450000
18,12,2024-11-11,2024-11-18,500000
19,14,2024-09-02,2024-09-02,350000
20,14,2024-10-07,2024-10-07,500000
21,14,2024-11-11,2024-11-11,500000
22,15,2024-09-02,,500000
23,15,2024-10-07,2024-10-21,500000
24,15,2024-11-11,2024-11-11,500000
25,16,2024-09-02,2024-09-02,400000
26,16,2024-10-07,2024-10-07,450000
27,16,2024-11-11,2024-11-11,450000
28,17,2024-09-02,2024-09-02,500000
29,17,2024-10-07,2024-10-07,400000
30,17,2024-11-11,2024-11-11,400000
31,18,2024-09-02,2024-09-02,500000
32,18,2024-10-07,2024-10-07,350000
33,18,2024-11-11,2024-11-11,500000
34,19,2024-09-02,2024-09-02,350000
35,19,2024-10-07,2024-10-07,500000
36,19,2024-11-11,2024-11-11,450000
37,20,2024-09-02,2024-09-16,500000
38,20,2024-10-07,2024-10-07,350000
39,20,2024-11-11,2024-11-11,400000
40,21,2024-09-02,2024-09-09,450000
41,21,2024-10-07,2024-10-14,450000
42,21,2024-11-11,2024-11-11,450000
43,25,2024-09-02,2024-09-02,400000
44,25,2024-10-07,2024-10-07,450000
45,25,2024-11-11,2024-11-11,500000
46,26,2024-09-02,2024-09-02,350000
47,26,2024-10-07,2024-10-07,500000
48,26,2024-11-11,2024-11-11,400000
49,28,2024-09-02,2024-09-02,450000
50,28,2024-10-07,2024-10-07,400000
51,28,2024-11-11,2024-11-11,450000
52,30,2024-09-02,2024-09-02,500000
53,30,2024-10-07,2024-10-07,400000
54,30,2024-11-11,2024-11-11,500000
55,33,2024-09-02,2024-09-02,400000
56,33,2024-10-07,2024-10-07,500000
57,33,2024-11-11,2024-11-11,400000
58,34,2024-09-02,2024-09-02,450000
59,34,2024-10-07,2024-10-07,500000
60,34,2024-11-11,2024-11-11,500000
61,35,2024-09-02,2024-09-16,450000
62,35,2024-10-07,2024-10-14,400000
63,35,2024-11-11,2024-11-18,500000
64,38,2024-09-02,2024-09-02,500000
65,38,2024-10-07,2024-10-07,350000
66,38,2024-11-11,2024-11-11,400000
