student_id,week_start,avg_grade,absence_hours
1,2024-09-02,78.7,9
1,2024-09-09,61.8,8
1,2024-09-16,70.6,9
1,2024-09-23,75.1,9
1,2024-09-30,71.0,9
1,2024-10-07,63.1,11
1,2024-10-14,53.6,10
1,2024-10-21,69.6,10
1,2024-10-28,72.9,9
1,2024-11-04,74.4,10
1,2024-11-11,67.4,10
1,2024-11-18,61.3,8
1,2024-11-25,76.7,10
1,2024-12-02,73.7,8
1,2024-12-09,77.2,7
1,2024-12-16,84.0,8
2,2024-09-02,57.7,7
2,2024-09-09,70.3,9
2,2024-09-16,85.8,7
2,2024-09-23,70.3,7
2,2024-09-30,66.1,11
2,2024-10-07,60.9,9
2,2024-10-14,73.1,8
2,2024-10-21,74.2,7
2,2024-10-28,83.3,11
2,2024-11-04,70.4,12
2,2024-11-11,66.8,9
2,2024-11-18,81.5,8
2,2024-11-25,58.9,6
2,2024-12-02,86.5,8
2,2024-12-09,68.5,7
2,2024-12-16,77.6,7
3,2024-09-02,66.1,9
3,2024-09-09,61.5,8
3,2024-09-16,81.2,9
3,2024-09-23,71.0,9
3,2024-09-30,66.9,11
3,2024-10-07,63.5,9
3,2024-10-14,70.9,10
3,2024-10-21,78.8,8
3,2024-10-28,72.3,9
3,2024-11-04,51.8,6
3,2024-11-11,65.2,7
3,2024-11-18,60.4,9
3,2024-11-25,70.0,8
3,2024-12-02,60.0,8
3,2024-12-09,49.0,8
3,2024-12-16,70.5,9
4,2024-09-02,17.5,28
4,2024-09-09,20.3,27
4,2024-09-16,32.9,31
4,2024-09-23,26.2,27
4,2024-09-30,25.9,30
4,2024-10-07,27.9,33
4,2024-10-14,15.8,30
4,2024-10-21,32.5,32
4,2024-10-28,3.1,30
4,2024-11-04,29.2,35
4,2024-11-11,21.6,31
4,2024-11-18,6.5,35
4,2024-11-25,19.0,31
4,2024-12-02,10.1,33
4,2024-12-09,14.7,31
4,2024-12-16,4.0,31
5,2024-09-02,78.3,8
5,2024-09-09,73.7,10
5,2024-09-16,71.8,8
5,2024-09-23,71.6,8
5,2024-09-30,80.0,9
5,2024-10-07,65.6,10
5,2024-10-14,79.8,6
5,2024-10-21,82.3,9
5,2024-10-28,72.3,10
5,2024-11-04,65.5,10
5,2024-11-11,67.0,6
5,2024-11-18,62.0,9
5,2024-11-25,62.4,11
5,2024-12-02,79.5,10
5,2024-12-09,71.0,9
5,2024-12-16,60.5,10
6,2024-09-02,73.0,9
6,2024-09-09,83.5,7
6,2024-09-16,69.0,9
6,2024-09-23,62.5,8
6,2024-09-30,73.9,8
6,2024-10-07,80.5,6
6,2024-10-14,79.0,9
6,2024-10-21,65.4,7
6,2024-10-28,53.4,7
6,2024-11-04,78.4,8
6,2024-11-11,79.3,7
6,2024-11-18,75.7,7
6,2024-11-25,62.3,8
6,2024-12-02,64.7,6
6,2024-12-09,68.5,8
6,2024-12-16,80.1,10
7,2024-09-02,53.8,21
7,2024-09-09,45.9,19
7,2024-09-16,43.7,22
7,2024-09-23,53.4,22
7,2024-09-30,50.9,20
7,2024-10-07,37.6,22
7,2024-10-14,48.8,21
7,2024-10-21,38.1,23
7,2024-10-28,29.0,24
7,2024-11-04,30.2,19
7,2024-11-11,36.6,25
7,2024-11-18,40.4,24
7,2024-11-25,35.3,22
7,2024-12-02,21.9,20
7,2024-12-09,35.1,25
7,2024-12-16,35.5,24
8,2024-09-02,98.7,3
8,2024-09-09,85.1,1
8,2024-09-16,100.0,3
8,2024-09-23,78.7,1
8,2024-09-30,96.4,1
8,2024-10-07,100.0,0
8,2024-10-14,97.9,3
8,2024-10-21,87.6,2
8,2024-10-28,100.0,4
8,2024-11-04,79.6,0
8,2024-11-11,88.4,2
8,2024-11-18,74.9,2
8,2024-11-25,82.5,2
8,2024-12-02,93.0,5
8,2024-12-09,94.6,1
8,2024-12-16,90.4,2
9,2024-09-02,59.3,9
9,2024-09-09,84.9,8
9,2024-09-16,57.2,8
9,2024-09-23,60.3,10
9,2024-09-30,74.2,8
9,2024-10-07,67.4,8
9,2024-10-14,70.1,7
9,2024-10-21,58.9,10
9,2024-10-28,66.9,9
9,2024-11-04,72.3,9
9,2024-11-11,60.6,6
9,2024-11-18,65.3,9
9,2024-11-25,64.2,8
9,2024-12-02,87.0,6
9,2024-12-09,64.0,11
9,2024-12-16,69.6,7
10,2024-09-02,79.4,8
10,2024-09-09,67.2,9
10,2024-09-16,64.7,7
10,2024-09-23,69.1,7
10,2024-09-30,70.1,9
10,2024-10-07,76.8,10
10,2024-10-14,66.8,9
10,2024-10-21,73.9,9
10,2024-10-28,66.2,7
10,2024-11-04,74.0,6
10,2024-11-11,67.9,4
10,2024-11-18,59.3,7
10,2024-11-25,78.8,9
10,2024-12-02,65.6,9
10,2024-12-09,77.1,8
10,2024-12-16,58.9,8
11,2024-09-02,59.2,13
11,2024-09-09,62.7,15
11,2024-09-16,63.0,15
11,2024-09-23,65.0,15
11,2024-09-30,60.5,14
11,2024-10-07,53.9,17
11,2024-10-14,42.0,16
11,2024-10-21,53.1,14
11,2024-10-28,59.8,13
11,2024-11-04,50.9,14
11,2024-11-11,55.4,14
11,2024-11-18,69.7,18
11,2024-11-25,40.4,16
11,2024-12-02,63.2,16
11,2024-12-09,50.8,15
11,2024-12-16,49.8,15
12,2024-09-02,20.3,27
12,2024-09-09,16.6,28
12,2024-09-16,17.2,29
12,2024-09-23,20.3,29
12,2024-09-30,33.0,31
12,2024-10-07,2.7,28
12,2024-10-14,19.1,30
12,2024-10-21,7.0,29
12,2024-10-28,19.8,31
12,2024-11-04,20.4,32
12,2024-11-11,18.6,32
12,2024-11-18,15.0,33
12,2024-11-25,0.0,34
12,2024-12-02,0.0,31
12,2024-12-09,8.5,34
12,2024-12-16,0.0,33
13,2024-09-02,50.3,22
13,2024-09-09,37.7,20
13,2024-09-16,37.6,20
13,2024-09-23,33.5,20
13,2024-09-30,44.5,21
13,2024-10-07,44.2,22
13,2024-10-14,45.1,23
13,2024-10-21,24.8,20
13,2024-10-28,36.1,22
13,2024-11-04,31.9,23
13,2024-11-11,52.3,23
13,2024-11-18,36.4,24
13,2024-11-25,20.1,23
13,2024-12-02,42.1,22
13,2024-12-09,23.7,23
13,2024-12-16,32.3,22
14,2024-09-02,86.8,8
14,2024-09-09,60.8,8
14,2024-09-16,77.3,8
14,2024-09-23,73.9,7
14,2024-09-30,81.9,9
14,2024-10-07,78.4,9
14,2024-10-14,76.6,7
14,2024-10-21,66.1,10
14,2024-10-28,82.5,7
14,2024-11-04,72.0,8
14,2024-11-11,64.4,9
14,2024-11-18,79.1,9
14,2024-11-25,67.4,9
14,2024-12-02,67.1,9
14,2024-12-09,81.2,5
14,2024-12-16,76.4,6
15,2024-09-02,53.8,19
15,2024-09-09,33.5,22
15,2024-09-16,45.4,19
15,2024-09-23,31.7,21
15,2024-09-30,31.4,20
15,2024-10-07,41.2,20
15,2024-10-14,42.9,24
15,2024-10-21,37.6,22
15,2024-10-28,54.1,20
15,2024-11-04,46.8,24
15,2024-11-11,43.3,24
15,2024-11-18,38.0,22
15,2024-11-25,43.8,24
15,2024-12-02,43.1,23
15,2024-12-09,27.8,23
15,2024-12-16,40.3,25
16,2024-09-02,82.6,3
16,2024-09-09,75.6,4
16,2024-09-16,79.9,4
16,2024-09-23,77.1,4
16,2024-09-30,88.9,1
16,2024-10-07,92.0,2
16,2024-10-14,92.6,2
16,2024-10-21,72.9,1
16,2024-10-28,83.3,5
16,2024-11-04,94.1,5
16,2024-11-11,100.0,2
16,2024-11-18,85.5,2
16,2024-11-25,81.8,0
16,2024-12-02,87.1,0
16,2024-12-09,87.0,6
16,2024-12-16,83.3,3
17,2024-09-02,93.3,3
17,2024-09-09,88.4,2
17,2024-09-16,84.3,1
17,2024-09-23,93.0,0
17,2024-09-30,94.1,0
17,2024-10-07,94.2,2
17,2024-10-14,76.7,3
17,2024-10-21,94.1,2
17,2024-10-28,92.5,0
17,2024-11-04,76.3,4
17,2024-11-11,85.1,0
17,2024-11-18,81.4,1
17,2024-11-25,85.8,2
17,2024-12-02,88.7,2
17,2024-12-09,98.2,3
17,2024-12-16,91.1,4
18,2024-09-02,66.9,6
18,2024-09-09,79.7,9
18,2024-09-16,71.1,7
18,2024-09-23,65.1,10
18,2024-09-30,77.9,9
18,2024-10-07,76.3,9
18,2024-10-14,71.1,8
18,2024-10-21,79.7,8
18,2024-10-28,73.0,7
18,2024-11-04,64.7,8
18,2024-11-11,63.6,9
18,2024-11-18,59.2,8
18,2024-11-25,71.1,6
18,2024-12-02,66.5,9
18,2024-12-09,73.4,8
18,2024-12-16,75.4,8
19,2024-09-02,70.1,9
19,2024-09-09,77.4,7
19,2024-09-16,66.1,7
19,2024-09-23,67.3,10
19,2024-09-30,74.6,7
19,2024-10-07,65.2,9
19,2024-10-14,62.7,7
19,2024-10-21,80.8,7
19,2024-10-28,77.6,10
19,2024-11-04,64.1,7
19,2024-11-11,67.8,7
19,2024-11-18,71.0,8
19,2024-11-25,72.9,10
19,2024-12-02,76.5,9
19,2024-12-09,54.3,9
19,2024-12-16,83.8,4
20,2024-09-02,65.5,14
20,2024-09-09,52.9,16
20,2024-09-16,73.1,16
20,2024-09-23,56.2,14
20,2024-09-30,60.0,16
20,2024-10-07,55.5,15
20,2024-10-14,80.9,17
20,2024-10-21,67.2,13
20,2024-10-28,52.1,15
20,2024-11-04,49.5,18
20,2024-11-11,68.5,15
20,2024-11-18,71.2,16
20,2024-11-25,77.3,16
20,2024-12-02,61.0,18
20,2024-12-09,66.3,17
20,2024-12-16,54.7,17
21,2024-09-02,53.5,15
21,2024-09-09,50.8,12
21,2024-09-16,59.8,17
21,2024-09-23,66.6,15
21,2024-09-30,72.9,14
21,2024-10-07,43.3,12
21,2024-10-14,48.9,16
21,2024-10-21,53.0,16
21,2024-10-28,70.9,14
21,2024-11-04,61.3,16
21,2024-11-11,50.3,17
21,2024-11-18,54.6,15
21,2024-11-25,73.5,16
21,2024-12-02,63.7,18
21,2024-12-09,50.9,18
21,2024-12-16,51.8,15
22,2024-09-02,27.8,27
22,2024-09-09,35.2,28
22,2024-09-16,23.3,29
22,2024-09-23,23.6,28
22,2024-09-30,24.8,30
22,2024-10-07,26.1,29
22,2024-10-14,28.3,29
22,2024-10-21,14.9,28
22,2024-10-28,26.6,31
22,2024-11-04,19.0,32
22,2024-11-11,12.1,29
22,2024-11-18,15.1,32
22,2024-11-25,11.0,34
22,2024-12-02,0.0,34
22,2024-12-09,16.6,33
22,2024-12-16,0.0,35
23,2024-09-02,51.8,14
23,2024-09-09,58.4,15
23,2024-09-16,64.6,16
23,2024-09-23,65.7,15
23,2024-09-30,62.2,13
23,2024-10-07,52.6,16
23,2024-10-14,65.0,16
23,2024-10-21,53.9,17
23,2024-10-28,48.5,17
23,2024-11-04,55.4,18
23,2024-11-11,45.0,18
23,2024-11-18,54.0,15
23,2024-11-25,58.2,15
23,2024-12-02,55.8,15
23,2024-12-09,50.5,16
23,2024-12-16,48.6,15
24,2024-09-02,49.0,14
24,2024-09-09,70.2,14
24,2024-09-16,53.6,15
24,2024-09-23,56.2,18
24,2024-09-30,57.6,16
24,2024-10-07,66.1,16
24,2024-10-14,60.2,15
24,2024-10-21,74.2,15
24,2024-10-28,54.2,14
24,2024-11-04,43.7,17
24,2024-11-11,38.4,15
24,2024-11-18,55.3,19
24,2024-11-25,42.0,14
24,2024-12-02,55.3,15
24,2024-12-09,51.7,16
24,2024-12-16,45.7,16
25,2024-09-02,67.4,3
25,2024-09-09,81.3,4
25,2024-09-16,100.0,2
25,2024-09-23,97.4,2
25,2024-09-30,78.6,5
25,2024-10-07,90.6,3
25,2024-10-14,92.1,3
25,2024-10-21,86.1,1
25,2024-10-28,84.6,3
25,2024-11-04,85.9,4
25,2024-11-11,90.0,1
25,2024-11-18,76.5,2
25,2024-11-25,82.9,3
25,2024-12-02,81.5,1
25,2024-12-09,95.7,3
25,2024-12-16,81.8,2
26,2024-09-02,97.0,3
26,2024-09-09,90.8,2
26,2024-09-16,94.4,6
26,2024-09-23,79.9,1
26,2024-09-30,87.8,4
26,2024-10-07,85.7,1
26,2024-10-14,85.7,3
26,2024-10-21,83.4,3
26,2024-10-28,96.1,3
26,2024-11-04,86.6,4
26,2024-11-11,80.1,1
26,2024-11-18,84.9,2
26,2024-11-25,80.7,5
26,2024-12-02,100.0,2
26,2024-12-09,88.0,2
26,2024-12-16,96.3,4
27,2024-09-02,45.8,15
27,2024-09-09,49.3,17
27,2024-09-16,63.0,14
27,2024-09-23,57.2,14
27,2024-09-30,63.1,17
27,2024-10-07,49.4,18
27,2024-10-14,71.2,14
27,2024-10-21,58.6,18
27,2024-10-28,67.6,15
27,2024-11-04,64.0,20
27,2024-11-11,58.0,15
27,2024-11-18,58.3,16
27,2024-11-25,52.4,16
27,2024-12-02,46.3,15
27,2024-12-09,62.1,13
27,2024-12-16,63.0,13
28,2024-09-02,56.1,8
28,2024-09-09,72.3,10
28,2024-09-16,70.5,8
28,2024-09-23,74.6,7
28,2024-09-30,71.1,7
28,2024-10-07,70.7,8
28,2024-10-14,63.6,9
28,2024-10-21,71.3,10
28,2024-10-28,57.2,8
28,2024-11-04,63.9,10
28,2024-11-11,76.0,9
28,2024-11-18,64.4,10
28,2024-11-25,57.8,6
28,2024-12-02,59.8,8
28,2024-12-09,75.4,4
28,2024-12-16,80.6,8
29,2024-09-02,31.5,20
29,2024-09-09,52.0,21
29,2024-09-16,51.3,19
29,2024-09-23,38.4,20
29,2024-09-30,54.7,22
29,2024-10-07,63.0,21
29,2024-10-14,33.7,21
29,2024-10-21,49.8,21
29,2024-10-28,39.0,22
29,2024-11-04,37.6,21
29,2024-11-11,35.4,22
29,2024-11-18,35.7,24
29,2024-11-25,49.1,21
29,2024-12-02,31.1,22
